pdb,uni,ik14
4qp8,P28482,PSBXDBLDXUYIFG
4qta,P28482,HDAJDNHIBCDLQF
1tvo,P28482,XVECMUKVOMUNLE
5bui,P28482,ZJRNBCJAMQCQNC
2oji,P28482,PDJZASCRQRBYQS
3w55,P28482,NEQZWEXWOFPKOT
4qp9,P28482,UEKKWQGHDYXDHX
6g9k,P28482,MWUVKGXBEJSWSJ
4qpa,P28482,DXPGARZCBUYRNE
5ngu,P28482,HOUKCOGYXHMATN
5nhp,P28482,YREPJIXZZKOVIM
6gjd,P28482,FWLOTDDRDKLCPO
6g9a,P28482,GWFKQIHFNOHJAK
6g93,P28482,GIZKBEAJKWOWLS
6g9m,P28482,OBEQPUMSPDLFGN
6gjb,P28482,ORLWNASDTJFKIF
5nhj,P28482,HKLUILZKCLFHGM
5buj,P28482,ALNKCGBLFMOHAW
6g9d,P28482,ZREYQWDDINYDOY
6g97,P28482,PVCKWDJCSQJNFH
6g9j,P28482,IRHJKWVMKNYGNX
6g9h,P28482,GDENZVFEXVRWNZ
5k4i,P28482,RZUOCXOYPYGSKL
6g9n,P28482,XHOJEECXVUMYMF
5bue,P28482,IKCMXTMBGDOSIP
5nhv,P28482,XDGNKNAACCOKKA
6ge0,P28482,OWNMUXCNXXWVMJ
2ojj,P28482,YMUYGRBBEDYUOP
3i5z,P28482,PFHKAGAZRDERTK
3i60,P28482,AICUOEJPCSKION
5nhh,P28482,LYRLKFUHEVBCHD
4o6e,P28482,QTZUMCMRRPENJM
1pme,P28482,CDMGBJANTYXAIV
5nhf,P28482,KERNFUCXORNNFU
5nhl,P28482,PNXHDOWDWLRBSB
5nho,P28482,PNXHDOWDWLRBSB
4xj0,P28482,PGGLRAWFUJMQBN
5bvf,P28482,ZQJZOIMPHMQLOK
5bvd,P28482,PJPXAFCTLKCTJP
6slg,P28482,HVIGNZUDBVLTLU
5bve,P28482,KQDDJNKQTVYZHY
4e93,P07332,QQWUGDVOUVUTOY
6jmf,P07332,XAMCCSYNPOEISO
6gzd,P48729,YSPIHUWHLMNFOV
3f66,P08581,QNCYYRHIUFGGJX
4deh,P08581,ZSFSLLGRLMODAE
4r1y,P08581,WVYHFPSGWCCXMO
5ho6,P08581,ODIUNTQOXRXOIV
3ccn,P08581,ZGJYGQLGSXWEMY
3cth,P08581,USBSTVPJNQLYEM
2wd1,P08581,USLOIFPDNUDIEG
3zc5,P08581,VQYHPUHKYSSEOB
5hoa,P08581,ODIUNTQOXRXOIV
4knb,P08581,RFKWZWJQRQCLJF
3c1x,P08581,YQQFRBUHZZNTGY
3efj,P08581,IKPJWGNTDNCFPS
3ctj,P08581,BMPOCDJEXAXXEZ
3a4p,P08581,WADWCVLVMLDBOV
3q6w,P08581,PCKOOTOQVCFRHS
5hlw,P08581,TYRAWDXLPFZNOP
3efk,P08581,DUTNABYDBFVZOA
3qti,P08581,RNCNPRCUHHDYPC
3i5n,P08581,GZLYPLRRKZCYLV
4ap7,P08581,NBRHZLRAQNRJSZ
3zcl,P08581,PUIUZHJXBDSQEZ
1r0p,P08581,KOZFSFOOLUUIGY
3cd8,P08581,HEAIZQNMNCHNFD
3l8v,P08581,VPOULRXFJKYXDN
4deg,P08581,QMWKLCXWSJTEFT
3zbx,P08581,KKIVWQQSFDGQSG
5hor,P08581,ODIUNTQOXRXOIV
2rfn,P08581,PEGWVOKOYYAQEV
3f82,P08581,VNBRGSXVFBYQNN
3r7o,P08581,IVWIPVHBADPMSP
3zxz,P08581,PDMUGYOXRHVNMO
4aoi,P08581,JJWKCZCBEYPJAJ
6sdd,P08581,VNBRGSXVFBYQNN
5eyc,P08581,MUXVJMKIENAXGE
2wgj,P08581,KTEIFNKAUNYNJU
4xmo,P08581,WIXYFSZDBHGKBE
3ce3,P08581,OBSFXHDOLBYWRJ
3zze,P08581,QYEVTRORXICGHU
6sdc,P08581,CXQHYVUVSFXTMY
4dei,P08581,ACDVIHRBYWUYPZ
5eyd,P08581,DWHXUGDWKAIASB
3u6h,P08581,SBLMCLDRWJNEJK
3u6i,P08581,OHLUERTUZNIQEE
4xyf,P08581,SCRRRLBPWUHHER
4r1v,P08581,AHYMHWXQRWRBKT
6sd9,P08581,CXQHYVUVSFXTMY
3lq8,P08581,CXQHYVUVSFXTMY
6sde,P08581,XYDNMOZJKOGZLS
3hdn,O00141,SWXKLXXVFMYMDP
3hdm,O00141,KSFDVNIKNYXUIP
3mvj,P17612,SMTIKTZYKPWXQP
3vqh,P17612,ZKZXNDJNWUTGDK
6c0u,P17612,AYXNTJKOINXKAJ
3amb,P17612,GCIKSSRWRFVXBI
4uj1,P17612,SWYGPPMJBPTZSH
3ama,P17612,KDKUVYLMPJIGKA
5uzk,P17612,OKUPZBPYLVKVSU
3l9l,P17612,XPPKIHZJFAAJLB
4uj2,P17612,GWAVIYJKLSHVMT
3l9m,P17612,RJESZRNJZYVXEA
3agl,P17612,SOPDRJHPMMUFQM
4ujb,P17612,POKNNHZYSUAARX
3l9n,P17612,XFEMJTFDPFGXFN
2gu8,P17612,HHOVRZGUSBMKKU
4uj9,P17612,XZRRVVLAMWXVRY
4uja,P17612,ZYTJGVHIDBAIRI
3agm,P17612,HDAQYTDEJISQDF
4eym,O15264,DLOAYIHJIDPKJJ
5eko,O15264,TXKSFDQJSFSHRB
5ekn,O15264,FDHKHZIFBOZGKU
4eyj,O15264,MHSLDASSAFCCDO
5j5t,Q8IVH8,HSEGDFMLRPWOHH
6fyi,P49760,BGVLELSCIHASRV
6fyl,P49760,MUOKSQABCJCOPU
6fyk,P49760,CEDLXWRFEZCVEU
5unp,P49760,PMWVYONICYRLNY
3vhk,P35968,UPVJJOGZAKVERR
3vid,P35968,HBWXPQZQCDQNND
1y6b,P35968,KRGKAARWVPUWSY
1y6a,P35968,HTIZPBXCJPQDEM
3vhe,P35968,TWOLOZGQZKJZKJ
4l7f,P45983,MFJOWCFANZXQBU
1zrz,P41743,QMGUOJYZJKLOLH
3zh8,P41743,NRHASZRDWOUMFD
6ilz,P41743,YDMJAALVMGFGRY
3e7o,P45984,LMDMJDCLPIVGQD
3npc,P45984,MVCOAUNKQVWQHZ
5m4u,P19784,CFWCAEJMOUILDR
6hmb,P19784,MUOKSQABCJCOPU
5m56,P19784,CFWCAEJMOUILDR
3e3b,P19784,BBYRUZKRFAIQSR
4p5z,P29320,RQXYLZHJULSWPX
3hng,P17948,GGPZCOONYBPZEW
3iw4,P17252,OAVGBZOFDPFGPJ
4zsg,Q13164,WQFRHSPASBOZIT
4zsl,Q13164,ZLOKMYYNNUNJBU
4zsj,Q13164,HSFMSVIZAIBADX
5o7i,Q13164,ATKCERYALDNMPL
6hkm,Q13164,SRRBAUZQZOASOY
5byy,Q13164,QAPAJIZPZGWAND
6hkn,Q13164,UCMVZMXGBOBQEZ
5byz,Q13164,PGXDTVQNUCGXDO
2ou7,P53350,PVKSNHVPLWYQGJ
2owb,P53350,TYYNSDQVFIOSFH
4a4l,P53350,HGBZKLOZYQAERY
4a4o,P53350,CYXABCVHENZAID
3kb7,P53350,SWTRIZHCIUWGAU
2rku,P53350,XQVVPGYIWAGRNI
4j52,P53350,IVRPFXYSCCXTAK
3thb,P53350,MYVQSDVXBZNNLF
4j53,P53350,GWRSATNRNFYMDI
2yac,P53350,QHLVBNKYJGBCQJ
5ta6,P53350,UJEXFMKGBVBXPF
3fc2,P53350,SXNJFOWDRLKDSF
4qtc,Q8TF76,HDAJDNHIBCDLQF
6g38,Q8TF76,HDZZVAMISRMYHH
6g37,Q8TF76,KRRZKBNCONNKPI
6g35,Q8TF76,ZWTPRQXZXQEKFT
6g36,Q8TF76,WUHZZVWKGCJQHU
6g34,Q8TF76,WHSIXKUPQCKWBY
6g39,Q8TF76,WHSIXKUPQCKWBY
6g3a,Q8TF76,WHSIXKUPQCKWBY
4umr,Q14680,PGZJYUJKVGSJFI
4d2w,Q14680,YMOUEQZHQYODQT
4umq,Q14680,TUABKEMVLJKHPG
4d2p,Q14680,IVDJYLJJRBVWIX
4d2t,Q14680,KLMWPYHIMXLJIE
4umt,Q14680,SSBLXEABMBMHKV
4umu,Q14680,LQPNDHUHBKXZAG
5ih8,Q14680,UKGSBPKSNSXMDN
4d2v,Q14680,GMZCYCKIXQZORP
6gvx,Q14680,XHBVYDAKJHETMP
5twz,Q14680,GMZCYCKIXQZORP
5ihc,Q14680,GZSRUYQFWHDLJI
5twl,Q14680,FUVRHGKKWNNBJX
5iha,Q14680,SYZOJQFDCIIANZ
5k00,Q14680,AJPBKLULISUYTP
5ih9,Q14680,BLFBSGVUERKSST
5tx3,Q14680,OFIFLUFVENTCNZ
2i0e,P05771,OHIVGFJSFMOMNC
3txo,P24723,WNDOFCPEDZYDPL
3cpb,P35968,CLEGTVIMOPPIBR
3cpc,P35968,HXUZQEYFKAZBPX
3ewh,P35968,VIHXUAKPZPXVSW
2p2h,P35968,YRSYWYSGZPRSOP
3cp9,P35968,LHLGUOHREUTYTO
2p2i,P35968,CPVRYQAOUPSUDO
3c7q,P35968,XZXHXSATPCNXJR
2qu5,P35968,ZJLSMLDOCGOURY
3cjf,P35968,SQQAPOSROFWHIB
3u6j,P35968,SBLMCLDRWJNEJK
2rl5,P35968,RNHWXYKRVZUXGO
4agd,P35968,WINHZLLDWRZWRT
2oh4,P35968,KADQEUOYNAPXRD
2qu6,P35968,KMNCFOUKJYOZIF
3vnt,P35968,MDPMAXSABUPRJI
3be2,P35968,OHHGYJBFPVJURR
3vo3,P35968,IFFBOVLYGJAFKB
5ew3,P35968,BLAFVGLBBOPRLP
4ag8,P35968,RITAVMQDGBJQJZ
3b8r,P35968,ZATGFXTWDKIEKC
4asd,P35968,MLDQJTXFUGDVEO
3b8q,P35968,WUBFAXNVDMCVIO
4agc,P35968,RITAVMQDGBJQJZ
4ase,P35968,SPMVMDHWKHCIDT
5iui,Q9UM73,BUBLMWQDUODHGD
5iuh,Q9UM73,DGTHZVANBQORTH
4dce,Q9UM73,BAQAWVMHTOQJCI
5iug,Q9UM73,AEOFEGDYORZHFE
4joa,Q9UM73,SDWMCZUOCJDBOJ
2xba,Q9UM73,FCLFBDYOCRVSHV
5kz0,Q9UM73,CZKOZZRYDBLSRF
6e0r,Q9UM73,NNWRFTLSEJKLQI
4fny,Q9UM73,ZCCVUGDQCAGCAA
4fnz,Q9UM73,LDRVTAIULYJYRP
5ftq,Q9UM73,COPINYWCESNOFK
5aa8,Q9UM73,IIXWYSCJSQVBQM
5aa9,Q9UM73,IIXWYSCJSQVBQM
5fto,Q9UM73,HAYYBYPASCDWEQ
4fob,Q9UM73,LWJAHJMKAARBCO
4cnh,Q9UM73,GXUFIECYEKHMLD
4foc,Q9UM73,NFTRTTWPZBZTLY
6ebw,Q9UM73,UYIANZRYPSGDFM
6edl,Q9UM73,SMKJDFHRUWJNRS
5aac,Q9UM73,KTEIFNKAUNYNJU
4cli,Q9UM73,IIXWYSCJSQVBQM
4fod,Q9UM73,WSTUJEXAPHIEIM
5aab,Q9UM73,KTEIFNKAUNYNJU
4cmo,Q9UM73,AMLQLZSHSQNJKQ
3aox,Q9UM73,KDGFLJKFZUIJMX
4clj,Q9UM73,IIXWYSCJSQVBQM
2xb7,Q9UM73,QQWUGDVOUVUTOY
5aaa,Q9UM73,KTEIFNKAUNYNJU
6mx8,Q9UM73,AILRADAXUVEEIR
4cmt,Q9UM73,CNOPXBIRDNNWIV
4cmu,Q9UM73,ASQDMAQHZGURLM
5a9u,Q9UM73,IIXWYSCJSQVBQM
4q9z,Q04759,YWULJUISHNTGOC
5f9e,Q04759,LOPPJVYTMBRTCK
1xjd,Q04759,HKSZLNNOFSGOKW
3w2o,P00533,ZYQXEVJIFYIBHZ
6s9b,P00533,DJZWMTBYRCKZMQ
5em8,P00533,DWKPGVACBGLMCU
4jq7,P00533,CCGBAJCQZPJWCS
6s9c,P00533,UDMIRQWCOXFLHS
5em5,P00533,MOSAREMUBHMKIV
4jr3,P00533,QTVUEQZXBRDKNW
5cav,P00533,BOPSHQJEVUOWPS
5ugb,P00533,ACTNABQUCQIOKX
5uga,P00533,ACTNABQUCQIOKX
5can,P00533,WPZKCOGUAMITHT
2ito,P00533,XGALLCVXEZPNRQ
3w32,P00533,QRXMEGUJRZKMEO
4rj6,P00533,CBLSWPLVIPVELR
4rj5,P00533,ZYQLGVMUVCWJRA
5c8m,P00533,UMJAMNNZTJYPHO
2ity,P00533,XGALLCVXEZPNRQ
5cap,P00533,SHYWETJFHVMCJS
6p1d,P00533,NKFCUHMOEKHJLB
5cao,P00533,FYQBREXHKBTBID
3w33,P00533,QHUDPFOODLMGQO
5edr,P00533,HMWMAHXTIWOHMD
2rgp,P00533,IMHOFYWDXRUQBM
4jrv,P00533,KPTUKIAZZFDEOC
5c8n,P00533,CGDZTEHAPAOWKF
2jiu,P00533,OONFNUWBHFSNBT
3poz,P00533,ZYQXEVJIFYIBHZ
5cal,P00533,MTUQMGZENJYREJ
4rj7,P00533,SMUCRZPXLSRBNU
5c8k,P00533,HVRZVMCNHMWTOQ
5em7,P00533,DWKPGVACBGLMCU
3w2r,P00533,WDGCQQKABPWBPZ
4rj8,P00533,BYMFSZLMPVZBJV
6s9d,P00533,HZCFGMWNKNGYOZ
4rj4,P00533,GZCREURYZWXRHS
3bel,P00533,KSGYKTRNRCPDHT
2itp,P00533,OONFNUWBHFSNBT
2j6m,P00533,OONFNUWBHFSNBT
6s89,P00533,WLQUQTHWWMACGB
6s8a,P00533,GYFHWHMKICJOJM
4jq8,P00533,ASCVQXWPIHGQIB
3w2s,P00533,WDGCQQKABPWBPZ
3ug2,P00533,XGALLCVXEZPNRQ
5x26,P00533,BJQHKZQCLPRNHN
5hcx,P00533,NOWVRPHFPYFSDG
5x28,P00533,AHHAKQCKRCKTEH
5em6,P00533,YDOSGCJDQXDSAQ
1xkk,P00533,BCFGMOOMADDAQU
5caq,P00533,WBAMFNDJQOEJFN
2itz,P00533,XGALLCVXEZPNRQ
5edq,P00533,OWTUZFHMSVAQSQ
6p1l,P00533,YTUFHOKUFOQRDF
2itt,P00533,OONFNUWBHFSNBT
5cau,P00533,BOPSHQJEVUOWPS
5cas,P00533,BOPSHQJEVUOWPS
5hcy,P00533,DJHWPKSBDIEQGY
5x27,P00533,QPOURHROVVCOHC
6duk,P00533,VHQVOTINPRYDAO
5cs6,P68400,BVPLWEHIQIGKSU
5moe,P68400,QCBBLYZCXYKKFL
5oul,P68400,DORNYDQOJKCYQY
5osl,P68400,IUGTZBMBEJSWNV
5mod,P68400,IMVIKRQERQOQKJ
5csh,P68400,CUCWYGFPAKDUOM
5oqu,P68400,LRYGKGSWWOPVKM
5ork,P68400,RDVSUVUAPHOYAU
6gmd,P68400,XAFZSQVXSGXDQY
5os7,P68400,XAFZSQVXSGXDQY
5os8,P68400,NTGIJTSMASUCKW
6hor,P68400,AFWKBSMFXWNGRE
5csp,P68400,DLGBEGBHXSAQOC
5cu2,P68400,DLGBEGBHXSAQOC
6hou,P68400,MWOOGOJBHIARFG
6gih,P68400,MTQLCOHSTAREMM
5orh,P68400,KEDHDUMTTSHKCU
6hot,P68400,DKZBBWMURDFHNE
3h30,P68400,XHSQDZXAVJRBMX
5orj,P68400,VCAZMKAHPZWESR
5otr,P68400,CVRVMSHFNIYTSS
6jwa,P68400,WHSIXKUPQCKWBY
4rll,P68400,UDYNXPSETJWNEU
5otz,P68400,ADAAVRXXVZLMDK
6hop,P68400,KSEBMYQBYZTDHS
3bqc,P68400,RHMXXJGYXNZAPX
5mo8,P68400,SLEBNFGMRDINFV
3u9c,P68400,HSSLDCABUXLXKM
5owl,P68400,ZSGVCOITZQLDSD
5owh,P68400,ZSGVCOITZQLDSD
5n1v,P68400,SABLEOBBNNRHAD
6hbn,P68400,SPPQIWGQWJYZTO
6hoq,P68400,KSEBMYQBYZTDHS
5cu4,P68400,NZDQDPKZQDWCOF
5cqu,P68400,KAIWWTMLTRXFON
3mb7,P68400,KPCHRAXFURQEBV
3mb6,P68400,IPFSIVVOJSEJOL
5m44,P68400,RAOULLCLLOGTDA
5m4c,P68400,RAOULLCLLOGTDA
4kwp,P68400,VQNVMWNZONLRRO
5b0x,P68400,UPIVZLFKYMNZDG
2zjw,P68400,AFSDNFLWKVMVRB
5n9l,P68400,ZCTFVCJEVPAGSA
5m4i,P68400,CFWCAEJMOUILDR
5m4f,P68400,CFWCAEJMOUILDR
3nga,P68400,MUOKSQABCJCOPU
3at3,P68400,YQTMYRNBXJDYDN
3at4,P68400,BBYRUZKRFAIQSR
6a1c,P68400,DARDDBZKGVEVKB
3u4u,P68400,FXZDYVDTIVZZCX
3r0t,P68400,UXZATHOFDZQOMY
5n9k,P68400,UWXKHLVNEQUSFY
3pe1,P68400,MUOKSQABCJCOPU
3pe2,P68400,HJGFPNFAFSFDNN
5h8g,P68400,SRABOMKMQRYXIK
5h8e,P68400,FBMJGDCKBKUMJF
5h8b,P68400,GDSQVLMYYCNAGP
3gp0,Q15759,HHZIURLSWUIHRB
4bkz,Q14680,FUQIWUOPEIFERV
4bky,Q14680,FWWFONGGISSNJV
6c0t,Q13976,AYXNTJKOINXKAJ
3lco,P07333,FYNJLBSSIPLISK
4hw7,P07333,WLYQGNIWNGFGPH
3lcd,P07333,PVBCEWZVPUKFNT
3qkk,P31749,ONZIIEDMJXLRAD
3cqu,P31749,OKGCSZUKOGMZAL
3cqw,P31749,YFFJXGRXFASBDL
3qkm,P31749,ABPGHPHYGKUEIO
3ow4,P31749,JGLUXTFIRPYAQV
3qkl,P31749,ZSKFBGIRLVOQAD
6ccy,P31749,XIYKGCYSJCRNDN
4gv1,P31749,JDUBGYFRJFOXQC
2jdo,P31751,AUHWQSZMVMMRLM
2xh5,P31751,SNNUMARRAFQOGY
3d0e,P31751,KGPGFQWBCSZGEL
2x39,P31751,XQPFDQVEBGYLHB
5e8w,P36897,HKSZLNNOFSGOKW
5e8z,P36897,UEECNVFACUZGKV
1rw8,P36897,NBDZLUOYAAVYHF
5usq,P36897,QZJHLQYMHQMSIQ
2wou,P36897,UEOZXMAOIHDDQE
1py5,P36897,IBCXZJCWDGCXQT
2wot,P36897,RNLQQRFAMDEKKT
3kcf,P36897,OWJLLMXRMBEWIM
2x7o,P36897,MUSRTIADFPCYTQ
3hmm,P36897,JONFDFIXMPXTRH
3gxl,P36897,HNHRWNUXTCATSG
1vjy,P36897,YRBHUKMLAGQYHS
5qik,P36897,TVFRIMALFOJAAL
3tzm,P36897,FHYUGAJXYORMHI
5e90,P36897,UEECNVFACUZGKV
3faa,P36897,TYPILNNEZPSNTI
6b8y,P36897,KNTWBIUWHSYQJE
5qim,P36897,VRPRBQAJAQCSCW
5qil,P36897,XODSKPZUYKGNMW
4anq,Q9UM73,KTEIFNKAUNYNJU
4cd0,Q9UM73,MXETZPYUZKZIMB
6bfn,P51617,RAFFLDOJXQAJPF
4oti,Q16512,UJLAWZDWDVHWOW
4otg,Q16512,UIARLYUEJFELEN
4oth,Q16512,DSXXEELGXBCYNQ
5loh,Q96GX5,HKSZLNNOFSGOKW
3rcd,P04626,ZYQXEVJIFYIBHZ
3pp0,P04626,XPUIECRALWERTL
4btm,Q5TCY1,YHDDNFHODNKNQV
4btk,Q5TCY1,BNDYIYYKEIXHNK
5bvk,Q08345,BYPMLXJTXCLBOI
6fil,Q08345,QDMKAQVMVBLGFR
6few,Q08345,QDMKAQVMVBLGFR
5fdp,Q08345,YXESXLYKZKCWFJ
4ckr,Q08345,AOZPVMOOEJAZGK
6fex,Q08345,UXEXYURPAPXPSR
6gwr,Q08345,IUGBGEUCXVKGQK
6hp9,Q08345,XFLAQLCDMJRPFH
5bvo,Q08345,YLTBELFOTTYXRF
4bkj,Q08345,KTUFNOKKBVMGRW
5bvw,Q08345,ZBNZXTGUTAYRHI
5bvn,Q08345,ZPVUIOVIUFJGHO
3zos,Q08345,PHXJVRSECIGDHY
6fyv,Q9HAZ1,MUOKSQABCJCOPU
3fxw,Q16644,XJJYJNMNYDNXNO
3fhr,Q16644,OWFLADWRSCINST
1t46,P10721,KTUFNOKKBVMGRW
6kla,P10721,MBWHJBDHRADERX
6mob,P10721,VWSRPILDGFSBIY
4u0i,P10721,PHXJVRSECIGDHY
3nw5,P08069,XXGADWBTSMHVDF
4d2r,P08069,FTZQWKAIKYEWPM
3o23,P08069,GKQIKYWYJQQLLD
3lw0,P08069,GVZDPXYOJHKYRC
2oj9,P08069,GLTRPHMPCVLOJS
3d94,P08069,PDJARQSWGDDFHH
5hzn,P08069,AECDBHGVIIRMOI
5fxr,P08069,JVFLXTNKVBOVBS
5fxq,P08069,UMHKPLNSKRNIJU
3i81,P08069,LQVXSNNAFNGRAH
5fxs,P08069,FDWQWRCUIAECJN
3nw6,P08069,XXGADWBTSMHVDF
3nw7,P08069,FQECDJFBKXFTIW
3qqu,P08069,LNEPMZDEABTAPY
3lvp,P08069,ISLVGFDZMORPFI
2i0v,P07333,QINNOQKHPLWGBK
2i0y,P07333,NNPCFFIJVKYGHR
3bea,P07333,AHBSXTVFKVCNCE
3dpk,P07333,LYINTIKJROJCGF
3krj,P07333,XPCQXAQALLRVJQ
3krl,P07333,UUPPIQKPNBIUKY
4hvs,P10721,NODCQQSEMCESEC
5v19,Q99683,ILHOJKHFOLVBOJ
6e2m,Q99683,KMUXXLWWJGMJFW
5v24,Q99683,ZHXCEXPJHPAARV
4bib,Q99683,LJQBAOLMNHGSQC
4bie,Q99683,AETIDEIXYCAWOW
4bic,Q99683,ODZMLPDPZFTGIU
3vw6,Q99683,SMJAMOAYGIVKRI
5up3,Q99683,NDBJFFCSTXBTFV
6e2n,Q99683,SZZKJPNBENKCOL
4bid,Q99683,GQBPIQNQRCHGPJ
4bhn,Q99683,XBKNNPZVSZKDRB
5uor,Q99683,NRGCVZHEQBOONX
6oyt,Q99683,YIDDLAAKOYYGJG
5uox,Q99683,ATENFOTVOKHAOY
6oyw,Q99683,LZTAURWQYWWPLU
6e2o,Q99683,ZGCMQKWOUIMBEP
5vio,Q99683,WOQOZRHVLYUXPM
5vil,Q99683,SWXPUZFQTICUQC
6ayd,P11309,RXQXACYMRVINQU
2i1m,P07333,NNPCFFIJVKYGHR
4u43,O95819,KTWGHBNFKBORPM
4rvt,O95819,NUFZHWWYFUWCIM
4obo,O95819,NFVSMRPXCHVTAG
4obq,O95819,GDCGMGVDMXRLGC
5di1,O95819,XFEKSSMJINNJSX
4obp,O95819,CLODUYRNZMIONW
4u45,O95819,KFPMWFGUHKKDSW
4u44,O95819,KOECVTWSFPGZJE
4zk5,O95819,FYXCIBJXJYBWPX
4y83,P41279,BIPBSLWNCVJIOQ
5iu2,P41279,WJOPLUBIUOVUKG
4y85,P41279,UQPVGCWCXPFUTD
5ih6,P48730,UWFFWZGQGRBIBG
5okt,P48730,WRKPZSMRWPJJDH
4hnf,P48730,AUMDBEHGJRZSOO
5ih5,P48730,ZWNKKZSRANLVEW
6hmr,P48730,OCIGBTIRVZOQBN
6hmp,P48730,BBDJOFZXYVEURD
4hgt,P48730,GMIKNOQZLHKCFH
4twc,P48730,GUWQZSKMUJFZMM
4hni,P49674,AUMDBEHGJRZSOO
6f26,P48730,VRODZCFGQSWGFE
4tw9,P48730,DVVVOLSRHWJCHV
3uyt,P48730,WUDBUIUHVNECTM
4kbc,P48730,RKBVIYAYFDBXIL
4kb8,P48730,UEPOHWWKVBWCFV
3uzp,P48730,WUDBUIUHVNECTM
6f1w,P48730,VRODZCFGQSWGFE
5mqv,P48730,SQTWIUXTIUIKOJ
5w4w,P48730,NGDXEOHYWJHBTJ
4kbk,P48730,ZVSNVLKUNCNJEG
4kba,P48730,RDUXJEGWTNOYDA
6gzm,P48730,YSPIHUWHLMNFOV
4g16,Q9Y6M4,GAHCTGQCJXQYNK
4g17,Q9Y6M4,BQPYYTDDPDJCGA
4hgl,Q9Y6M4,CIUATZJWGJGLPW
4hgs,Q9Y6M4,GMIKNOQZLHKCFH
5d9l,P51812,FHGTUVGVZRNUDB
4nw5,P51812,ZDYXRELDNKSUBF
4nus,P51812,IKUFKDGKRLMXEX
4nw6,P51812,ZWUCWBYYVLQXEP
5d9k,P51812,DTEKTGDVSARYDS
6n3l,Q9P2K8,YGSUBARKRPZWKJ
6n3o,Q9P2K8,JGHVXJKGYJYWOP
6n3n,Q9P2K8,VJXAWOQPYMAEFQ
4bdi,O96017,LDNVJBRMIHEEJK
4bdb,O96017,FQPRUMXSHZSJGM
4bdf,O96017,QHRSESMSOJZMCO
4bdh,O96017,LTNSHOVGLDMJRU
4bdg,O96017,USKHSGIEOVXVFW
4bdd,O96017,LTTKIGSXIAQOSY
4bde,O96017,QLGGAJVPIQZKIJ
4bdc,O96017,HNDVFGAJLBLXDW
4bdj,O96017,CVODVHVJEVVKKB
4bdk,O96017,CQHKQYSHFWCLKE
2cn8,O96017,JYRJOQGKGMHTOO
4bda,O96017,UHMYOSZMUIJCFW
2wtc,O96017,MGGHBVJICDPMQM
2w0j,O96017,HCAQGQIHBFVVIX
2wtd,O96017,UBOGEBHIZSQBBD
2xm8,O96017,XVURFLCQTYKQLW
2ycr,O96017,IGZOGYCMSGAQFP
4a9s,O96017,PMCFOCQQFLSWEU
2w7x,O96017,ZKHRFTLMLVMQMS
4a9r,O96017,UXGJAOIJSROTTN
2yiq,O96017,STGJVWUQAFPAMH
2xm9,O96017,DZNFGQDAMCNMLC
2xbj,O96017,HZASIAXCPXTISQ
2ycs,O96017,BTFCNWPQBVODIL
2yit,O96017,IFLKHYHIUCIDRM
2yir,O96017,CFOWEKJDEFRRLQ
2ycq,O96017,ZRMHKCSZOJQCBI
2ycf,O96017,VVGIJVMXIRYKIO
3wf9,P23443,ZICDFSXBQFNQBM
3wf8,P23443,CZNAHALNBRNZRG
3wf7,P23443,RSRHDIYCQIWTON
3wf5,P23443,SAOVCWDCHHZCCL
3wf6,P23443,QOXYIHCPHZOWJH
3we4,P23443,FBLPQCAQRNSVHB
5eak,Q7KZI7,LYADGAGFYYXXIO
5es1,Q96L34,QXXZIVGTJXYLQO
6gqm,P10721,FLJOFQUXYAWOPE
3fpm,P49137,MCBPNFWHHNJTGN
3wi6,P49137,BRLBLOAZCZCBIY
3kc3,P49137,IQDDLNJTLVXFQA
2p3g,P49137,XJJYJNMNYDNXNO
3a2c,P49137,WJOUGMPFYANZMI
3fyk,P49137,TXYKBKYDFZQOCB
2pzy,P49137,QWFFPYQWUWLDBV
3r2y,P49137,OWFLADWRSCINST
2jbp,P49137,OWFLADWRSCINST
2jbo,P49137,OWFLADWRSCINST
3fyj,P49137,CMWRPDHVGMHLSZ
3r2b,P49137,QSDGMDKMSSYMKU
6gl9,P52333,JIDRJSPIWPPOBL
6glb,P52333,PLKGAHIHTTYWEV
4hvi,P52333,STEKXUJMQOKLQV
6db3,P52333,PTCVBQDKOCSZKC
4i6q,P52333,TUNBOTWJAARGCJ
3pjc,P52333,MYIILBMNTUDZDH
6gla,P52333,UUVPPNMLZDVPOR
3zep,P52333,ZLMYXZMBDPHCEG
4hvh,P52333,ODYYFDDUIDLRBK
4hvg,P52333,ODYYFDDUIDLRBK
5lwn,P52333,LVVYJCDRPPCFEQ
4qt1,P52333,UTTDMGAEOAWZGU
6hzv,P52333,RJIVCYWQVNETLQ
3lxl,P52333,VNDWQCSOSCCWIP
6ny4,P52333,PRWQQLFMBINSAW
5w86,P52333,NYSLPKXXILEKDL
4hvd,P52333,YCFLEMHGWPQDSP
5lwm,P52333,GJMZWYLOARVASY
4rio,P52333,UPBRYBJZTWHUQK
5vo6,P52333,DIFGSGNUHRNWPK
6aak,P52333,DREIJXJRTLTGJC
3zc6,P52333,AGTYRXOJPORGGM
3lxk,P52333,UJLAWZDWDVHWOW
3lzb,P00533,BFTPDUXUTFGDLP
3e62,O60674,OMPYFDJVSAMSMA
